Country,No_Disaster
United States of America (the),1137
China,1004
India,772
Philippines (the),688
Indonesia,614
Japan,386
Bangladesh,361
Mexico,302
Brazil,275
Iran (Islamic Republic of),262
Viet Nam,260
Pakistan,250
Colombia,230
Australia,220
Peru,215
Afghanistan,215
Turkey,214
France,197
Italy,184
Russian Federation (the),177
Thailand,170
Canada,153
Congo (the Democratic Republic of the),149
Nigeria,141
Haiti,137
Nepal,137
Taiwan (Province of China),135
Korea (the Republic of),131
Sri Lanka,127
Ethiopia,126
Guatemala,126
Argentina,126
Mozambique,124
Kenya,124
South Africa,123
Chile,122
"Tanzania, United Republic of",118
Ecuador,118
Uganda,111
Bolivia (Plurinational State of),109
Greece,109
Sudan (the),108
Spain,107
Hong Kong,107
Malaysia,106
Somalia,105
Niger (the),104
United Kingdom of Great Britain and Northern Ireland (the),104
Romania,102
Madagascar,99
Honduras,96
Algeria,92
Papua New Guinea,91
Cuba,90
Dominican Republic (the),89
Germany,88
Myanmar,88
Nicaragua,87
New Zealand,81
Malawi,80
Costa Rica,76
Angola,75
Tajikistan,75
El Salvador,74
Belgium,70
Venezuela (Bolivarian Republic of),69
Chad,66
Burkina Faso,66
Switzerland,65
Mali,64
Soviet Union,64
Poland,64
Burundi,63
Panama,63
Morocco,62
Fiji,62
Paraguay,60
Yemen,59
Cameroon,59
Ghana,57
Zimbabwe,56
Austria,56
Rwanda,56
Jamaica,56
Lao People's Democratic Republic (the),55
Senegal,55
Portugal,55
Zambia,55
Benin,54
Vanuatu,53
Bulgaria,52
Mauritania,49
Cambodia,48
Korea (the Democratic People's Republic of),47
Central African Republic,47
Albania,45
Mongolia,44
Netherlands (the),43
Guinea,40
Ukraine,40
Puerto Rico,39
Solomon Islands,38
Congo (the),37
Uruguay,36
Egypt,36
Gambia (the),35
Hungary,35
Sierra Leone,34
Czech Republic (the),34
Croatia,34
Kyrgyzstan,33
Namibia,33
Serbia,32
Bosnia and Herzegovina,31
Côte d’Ivoire,31
Togo,30
Saudi Arabia,29
Georgia,29
Iraq,29
Bahamas (the),28
South Sudan,27
Djibouti,27
Kazakhstan,27
Tunisia,27
Ireland,26
Comoros (the),25
Saint Vincent and the Grenadines,25
Slovakia,25
Guinea-Bissau,25
Liberia,25
Tonga,25
Lesotho,24
Macedonia (the former Yugoslav Republic of),24
Cabo Verde,23
Mauritius,23
Belize,23
Botswana,23
Syrian Arab Republic,22
Saint Lucia,22
Yugoslavia,22
Germany Fed Rep,20
Israel,20
Eswatini,19
Martinique,18
Jordan,18
Denmark,18
Guadeloupe,18
Sweden,17
Oman,17
New Caledonia,17
Serbia Montenegro,16
Cyprus,16
Samoa,16
Moldova (the Republic of),16
Réunion,16
Lebanon,16
Lithuania,15
Azerbaijan,15
Dominica,15
Belarus,15
Norway,15
Timor-Leste,14
Luxembourg,14
Gabon,14
Trinidad and Tobago,14
Cook Islands (the),14
Barbados,14
Iceland,13
Guyana,13
Slovenia,13
Armenia,13
Antigua and Barbuda,13
Bhutan,12
Micronesia (Federated States of),11
Latvia,11
Saint Kitts and Nevis,11
Anguilla,11
Guam,11
"Palestine, State of",10
Uzbekistan,10
Czechoslovakia,9
Yemen Arab Rep,9
Tuvalu,9
Virgin Island (U.S.),8
Eritrea,8
Grenada,8
Marshall Islands (the),8
French Polynesia,8
Canary Is,8
Maldives,8
Montserrat,8
Yemen P Dem Rep,7
Montenegro,7
Cayman Islands (the),7
Seychelles,7
Turks and Caicos Islands (the),7
Macao,7
American Samoa,6
Niue,6
Kiribati,6
Sao Tome and Principe,6
Azores Islands,6
Bermuda,6
Tokelau,6
Northern Mariana Islands (the),5
Suriname,5
Palau,5
Libya,5
Estonia,5
Wallis and Futuna,5
Netherlands Antilles,4
Finland,4
Singapore,4
Germany Dem Rep,3
French Guiana,3
Virgin Island (British),3
Kuwait,3
Equatorial Guinea,2
Turkmenistan,2
"Saint Helena, Ascension and Tristan da Cunha",1
Brunei Darussalam,1
Bahrain,1
United Arab Emirates (the),1
Qatar,1
Saint Barthélemy,1
Saint Martin (French Part),1
Sint Maarten (Dutch part),1
Isle of Man,1
Malta,1
